Symbol,Short Window,Long Window,Accuracy
BSV,18,107,0.7603305785123967
VGT,21,111,0.7602040816326531
VPU,100,133,0.7602040816326531
BSV,127,128,0.7600455970361927
VDC,98,105,0.7599721706864564
VHT,39,116,0.7599721706864564
BSV,113,124,0.7597606155599886
BSV,62,124,0.7597606155599886
BSV,47,133,0.7597606155599886
VHT,9,105,0.7597402597402597
VGSH,77,131,0.7596626844694307
VPU,107,136,0.759508348794063
VGT,55,115,0.759508348794063
BSV,46,125,0.7594756340837846
BSV,112,126,0.7594756340837846
BSV,108,125,0.7591906526075805
VGSH,112,132,0.7589599437807449
BSV,34,109,0.7589056711313764
VGT,55,114,0.7588126159554731
VPU,62,134,0.7588126159554731
^GSPC,30,134,0.7587260034904014
VGT,60,99,0.7585807050092764
VPU,61,135,0.7585807050092764
VDC,95,103,0.7585807050092764
VDC,28,82,0.7585807050092764
VTV,10,102,0.7583487940630798
VHT,40,102,0.7583487940630798
VDC,6,84,0.7583487940630798
VTV,11,101,0.7583487940630798
VIG,35,138,0.7583444592790387
BSV,20,112,0.7583357081789683
BSV,33,118,0.7583357081789683
VCR,59,138,0.7581168831168831
VCR,60,133,0.7581168831168831
BSV,10,134,0.7580507267027643
BSV,9,131,0.7580507267027643
BSV,103,124,0.7580507267027643
VGSH,93,126,0.7579058327477161
VGSH,119,134,0.7579058327477161
VGT,64,113,0.7578849721706865
VGT,54,113,0.7578849721706865
BSV,34,132,0.7577657452265603
VDC,83,101,0.7576530612244898
VPU,106,134,0.7576530612244898
VGSH,107,127,0.7575544624033732
VIG,33,96,0.757543391188251
BSV,123,124,0.7574807637503562
VGT,61,119,0.7574211502782932
VGSH,126,138,0.7572030920590302
VCSH,125,139,0.7572030920590302
VGSH,108,128,0.7572030920590302
VGSH,126,138,0.7572030920590302
^GSPC,12,126,0.7571989528795812
VGT,116,133,0.7571892393320965
VGT,71,102,0.7571892393320965
SHY,23,86,0.7569808027923212
VDC,31,81,0.7569573283858998
VCR,31,102,0.7569573283858998
VGT,66,104,0.7569573283858998
VGSH,69,124,0.7568517217146873
VCSH,125,140,0.7568517217146873
VDC,46,77,0.7567254174397031
VGT,80,103,0.7564935064935064
BSV,105,119,0.7563408378455401
VCR,16,100,0.7562615955473099
VGT,54,116,0.7562615955473099
VGT,46,118,0.7562615955473099
VGT,114,140,0.7562615955473099
VPU,126,139,0.7562615955473099
VPU,108,134,0.7560296846011132
VGT,10,103,0.7560296846011132
VIG,37,140,0.7559412550066755
SHY,46,86,0.7558900523560209
VPU,112,135,0.7557977736549165
VCR,76,132,0.7557977736549165
VDC,82,98,0.7557977736549165
BSV,44,114,0.755770874893132
VPU,127,136,0.7555658627087198
VPU,58,132,0.7553339517625232
VDC,81,97,0.7553339517625232
VPU,87,130,0.7553339517625232
VPU,127,132,0.7553339517625232
VPU,47,130,0.7553339517625232
BSV,14,118,0.7552009119407238
BSV,112,120,0.7552009119407238
BSV,117,121,0.7552009119407238
BSV,111,119,0.7549159304645198
VPU,125,130,0.7548701298701299
VGT,123,134,0.7548701298701299
VTV,33,95,0.7548701298701299
VGT,104,132,0.7546382189239332
VGT,36,122,0.7546382189239332
BSV,84,120,0.7546309489883157
VGT,56,130,0.7544063079777366
VHT,28,90,0.7544063079777366
VGT,90,135,0.7544063079777366
VGT,38,130,0.7544063079777366
SHY,83,94,0.7543630017452007
BSV,15,120,0.7543459675121117
VGT,90,112,0.7541743970315399
VPU,123,129,0.7541743970315399
BSV,115,119,0.7540609860359077
BSV,17,118,0.7540609860359077
VCSH,123,133,0.7540407589599438
VGSH,70,122,0.7540407589599438
VGT,108,134,0.7539424860853432
^GSPC,6,122,0.7539267015706806
BSV,11,110,0.7537760045597036
VDC,45,76,0.7537105751391465
VPU,107,129,0.7537105751391465
VPU,115,133,0.7537105751391465
SHY,77,95,0.7537085514834206
VCSH,130,131,0.7536893886156009
VHT,45,122,0.75347866419295
VGT,69,128,0.75347866419295
VCSH,121,132,0.7533380182712579
VCSH,121,132,0.7533380182712579
VCSH,129,130,0.7533380182712579
VGT,60,132,0.7532467532467533
VPU,105,126,0.7532467532467533
VCR,51,99,0.7530148423005566
VHT,46,118,0.7530148423005566
VGT,82,103,0.7530148423005566
VGT,79,132,0.7530148423005566
VPU,101,128,0.7530148423005566
VGSH,77,125,0.7529866479269149
VGSH,116,130,0.7529866479269149
BSV,71,114,0.7529210601310915
VIG,14,91,0.7527369826435247
BSV,11,119,0.7526360786548875
VPU,109,130,0.7525510204081632
VPU,81,124,0.7525510204081632
BSV,35,100,0.7523510971786834
BSV,80,117,0.7523510971786834
VPU,102,126,0.7523191094619666
VPU,38,130,0.7523191094619666
VGT,49,123,0.7523191094619666
VCR,78,129,0.7523191094619666
VGT,85,115,0.75208719851577
BSV,35,96,0.7520661157024794
VIG,10,86,0.751935914552737
VGSH,114,128,0.7519325368938862
VGT,85,108,0.7518552875695733
VGT,59,109,0.7518552875695733
BSV,9,112,0.7517811342262752
BSV,49,112,0.7517811342262752
SHY,81,91,0.7517452006980803
VCR,73,112,0.7516233766233766
VGT,79,113,0.7516233766233766
VPU,126,129,0.7516233766233766
BSV,28,92,0.7514961527500712
BSV,12,117,0.7514961527500712
VPU,104,121,0.75139146567718
VGSH,106,122,0.7512297962052003
VGT,96,140,0.7511595547309833
